Ano,Região,UF,Nome do Município,Localização,Dependência Administrativa,Ano de Ensino,Código da Escola,Abandono,Aprovacao,Reprovacao
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53003047,3.9,69.2,26.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53004981,8.3,79.7,12.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53005171,0.0,85.7,14.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53005210,0.0,90.1,9.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53005740,0.0,47.7,52.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53006046,18.8,55.6,25.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53006054,10.3,61.8,27.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53006496,0.0,89.5,10.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53006720,0.0,81.0,19.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53008146,0.0,97.9,2.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1ª série,53009380,23.3,36.7,40.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53003047,0.0,92.7,7.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005210,0.0,91.7,8.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005740,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006046,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006054,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53008146,7.2,82.1,10.7
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53009380,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53002466,6.2,93.8,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53003055,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53003063,0.0,79.2,20.8
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005007,3.8,94.3,1.9
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005147,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005155,0.0,88.9,11.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005163,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005180,0.0,96.9,3.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005198,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005201,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005694,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005708,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005716,0.0,98.7,1.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005724,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005759,0.0,94.4,5.6
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005767,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005783,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005791,0.0,92.9,7.1
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005805,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53005988,0.0,92.0,8.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006020,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006038,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006348,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006364,0.0,87.5,12.5
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006372,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006380,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006402,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006429,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006437,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006461,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006526,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006534,0.0,91.7,8.3
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006798,0.0,85.0,15.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006828,0.0,94.6,5.4
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006836,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006844,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006852,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006860,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006879,0.0,100.0,0.0
2015,Centro-Oeste,DF,Brasília,Rural,Estadual,1º Ano,53006887,7.5,85.0,7.5
